TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
End of Time,"K-391, Alan Walker, Ahrix",67O8CWXxPsfz8orZVGMQwf,https://i.scdn.co/image/ab67616d0000b27349b9fbf2345c02ca2387a357,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf,https://p.scdn.co/mp3-preview/90909a9a71ccc3d712320a57e5133c298b63d4c3?cid=4598e66debe040afa4e5e77d7f33ee1d,0.7,0.81,0.193
Darkside,"Alan Walker, Au/Ra, Tomine Harket",6SRWhUJcD2YKahCwHavz3X,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X,https://p.scdn.co/mp3-preview/b5e08f76dc4dab3e678030570da21472990d761e?cid=4598e66debe040afa4e5e77d7f33ee1d,0.606,0.43,0.123
Let Me Love You,"DJ Snake, Justin Bieber",0lYBSQXN6rCTvUZvg9S0lU,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,https://p.scdn.co/mp3-preview/14c09eb311962562e828fb8355bd92a16f358a77?cid=4598e66debe040afa4e5e77d7f33ee1d,0.716,0.649,0.163
Señorita,"Shawn Mendes, Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,https://p.scdn.co/mp3-preview/b0722b0a61b0d2074ffd3b117c2f67eecf6ee4a5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.548,0.759,0.749
Havana (feat. Young Thug),"Camila Cabello, Young Thug",1rfofaqEpACxVEHIZBJe6W,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,https://p.scdn.co/mp3-preview/dde842d9c212b2acdd3dcbefa41f2b41b198ec8f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.523,0.765,0.394
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",1xQ6trAsedVPCdbtDAmk0c,https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,,0.481,0.767,0.761
Memories,Maroon 5,4cktbXiXOapiLBMprHFErI,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,https://p.scdn.co/mp3-preview/b8121499cfa167201cde55b63d83aaee17d1076e?cid=4598e66debe040afa4e5e77d7f33ee1d,0.327,0.775,0.595
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,,0.673,0.787,0.779
Supalonely,"BENEE, Gus Dapperton",4nK5YrxbMGZstTLbvj6Gxw,https://i.scdn.co/image/ab67616d0000b27382f4ec53c54bdd5be4eed4a0,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,,0.631,0.863,0.817
Hall Of Fame (Glee Cast Version),Glee Cast,6xY7r8duYr3rMioEXm0daL,https://i.scdn.co/image/ab67616d0000b273982bd110b3bef1f5a806209b,https://open.spotify.com/track/6xY7r8duYr3rMioEXm0daL,https://p.scdn.co/mp3-preview/2d030d9039ae713283458f197a4a5a20ebd66c6b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.813,0.421,0.635
