TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Take My Hand,Kassy,6YBfa6iDpybEPDcQsPi9D2,https://i.scdn.co/image/ab67616d0000b27328607a316bf427c26d126a62,https://open.spotify.com/track/6YBfa6iDpybEPDcQsPi9D2,https://p.scdn.co/mp3-preview/b8c286c24b2b3f6fc4703d5a6671e555f1499983?cid=4598e66debe040afa4e5e77d7f33ee1d,0.233,0.672,0.297
Fix me,BOL4,6bSkF997fC5HQz6BuEZkXV,https://i.scdn.co/image/ab67616d0000b2735a779a448704247c41c938fa,https://open.spotify.com/track/6bSkF997fC5HQz6BuEZkXV,https://p.scdn.co/mp3-preview/03065855b323ee4a6cae4d7bb8c9cc517453c4bf?cid=4598e66debe040afa4e5e77d7f33ee1d,0.834,0.609,0.604
Love poem,IU,7HrE6HtYNBbGqp5GmHbFV0,https://i.scdn.co/image/ab67616d0000b273b658276cd9884ef6fae69033,https://open.spotify.com/track/7HrE6HtYNBbGqp5GmHbFV0,https://p.scdn.co/mp3-preview/e501526432dc125de0d40c847ad96254334f0bfb?cid=4598e66debe040afa4e5e77d7f33ee1d,0.467,0.404,0.273
Breath,Park Hyo Shin,7pJcMkVanPZDqWrF7Rxml6,https://i.scdn.co/image/ab67616d0000b273d3430c9daa4cf3572627c420,https://open.spotify.com/track/7pJcMkVanPZDqWrF7Rxml6,https://p.scdn.co/mp3-preview/e2c7948974b334217760c9d965f6e9875cf76d1a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.208,0.349,0.252
"Bravo, My Life!",Eric Nam,5IBGJAEwVNkV1zF5oQzu1N,https://i.scdn.co/image/ab67616d0000b273aca3ea6194ed3e6056c5063a,https://open.spotify.com/track/5IBGJAEwVNkV1zF5oQzu1N,https://p.scdn.co/mp3-preview/2322a5a248d16f45a424a84c172e1a6f04a14758?cid=4598e66debe040afa4e5e77d7f33ee1d,0.502,0.658,0.306
be by my side,Crush,1K3N3pF1uu1WPRD2QFEz06,https://i.scdn.co/image/ab67616d0000b2738d1b9c4b3481c2c1140e0e6e,https://open.spotify.com/track/1K3N3pF1uu1WPRD2QFEz06,https://p.scdn.co/mp3-preview/dd0fe10b6ec7c9631cc5a327f9b18836b2cb47d0?cid=4598e66debe040afa4e5e77d7f33ee1d,0.577,0.351,0.444
Still the Same,KYUL,6haDjNEwTRlmBlIQ5wxeML,https://i.scdn.co/image/ab67616d0000b27362beb1d3fb0c9aa111dbe110,https://open.spotify.com/track/6haDjNEwTRlmBlIQ5wxeML,https://p.scdn.co/mp3-preview/a46dc9fdee8d0a94c32a19f8fad010e9483fb9db?cid=4598e66debe040afa4e5e77d7f33ee1d,0.455,0.67,0.639
Another Dream,Girls Planet 999,1UUJwdNBSVQAQMZYHfkIa5,https://i.scdn.co/image/ab67616d0000b273789aa2775dc8ee1fd589c65d,https://open.spotify.com/track/1UUJwdNBSVQAQMZYHfkIa5,https://p.scdn.co/mp3-preview/e62e8567a9ad9511b70fc982c422223992ef807b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.748,0.405,0.314
Fighting! 응원해,Eldon,5F2Nrnc779a0ZADDG7v7u7,https://i.scdn.co/image/ab67616d0000b2734289cb0263f6d64b9a6b7d4a,https://open.spotify.com/track/5F2Nrnc779a0ZADDG7v7u7,https://p.scdn.co/mp3-preview/29a8ca0fe96728d62616cd702921c0452e207104?cid=4598e66debe040afa4e5e77d7f33ee1d,0.406,0.646,0.518
Happiness,OVAN,23F5idO5E81O3VatxedjQM,https://i.scdn.co/image/ab67616d0000b2733f0dcfc7234eb38332b260b6,https://open.spotify.com/track/23F5idO5E81O3VatxedjQM,https://p.scdn.co/mp3-preview/5274662ce0c5b47d259b83df62f0047c3370b119?cid=4598e66debe040afa4e5e77d7f33ee1d,0.627,0.577,0.718
